t_s,theta_ref_graus,I_loop_mA,V_RL_V
0.463,166.68,4.7355974,1.18389935
0.464,167.04,4.73719997,1.18429999
0.465,167.4,4.73880253,1.18470063
0.466,167.76,4.7404051,1.18510127
0.467,168.12,4.74200766,1.18550191
0.468,168.48,4.74361022,1.18590256
0.469,168.84,4.74521279,1.1863032
0.47,169.2,4.74681535,1.18670384
0.471,169.56,4.74841792,1.18710448
0.472,169.92,4.75002048,1.18750512
0.473,170.28,4.75162304,1.18790576
0.474,170.64,4.75322561,1.1883064
0.475,171,4.75482817,1.18870704
0.476,171.36,4.75643074,1.18910768
0.477,171.72,4.7580333,1.18950833
0.478,172.08,4.75963586,1.18990897
0.479,172.44,4.76123843,1.19030961
0.48,172.8,4.76284099,1.19071025
0.481,173.16,4.76444356,1.19111089
0.482,173.52,4.76604612,1.19151153
0.483,173.88,4.76764869,1.19191217
0.484,174.24,4.76925125,1.19231281
0.485,174.6,4.77085381,1.19271345
0.486,174.96,4.77245638,1.19311409
0.487,175.32,4.77405894,1.19351474
0.488,175.68,4.77566151,1.19391538
0.489,176.04,4.77726407,1.19431602
0.49,176.4,4.77886663,1.19471666
0.491,176.76,4.7804692,1.1951173
0.492,177.12,4.78207176,1.19551794
0.493,177.48,4.78367433,1.19591858
0.494,177.84,4.78527689,1.19631922
0.495,178.2,4.78687945,1.19671986
0.496,178.56,4.78848202,1.1971205
0.497,178.92,4.79008458,1.19752115
0.498,179.28,4.79168715,1.19792179
0.499,179.64,4.79328971,1.19832243
0.5,180,4.79489227,1.19872307
0.501,180.36,4.79649484,1.19912371
0.502,180.72,4.7980974,1.19952435
0.503,181.08,4.79969997,1.19992499
0.504,181.44,4.80130253,1.20032563
0.505,181.8,4.8029051,1.20072627
0.506,182.16,4.80450766,1.20112691
0.507,182.52,4.80611022,1.20152756
0.508,182.88,4.80771279,1.2019282
0.509,183.24,4.80931535,1.20232884
0.51,183.6,4.81091792,1.20272948
0.511,183.96,4.81252048,1.20313012
0.512,184.32,4.81412304,1.20353076
0.513,184.68,4.81572561,1.2039314
0.514,185.04,4.81732817,1.20433204
0.515,185.4,4.81893074,1.20473268
0.516,185.76,4.8205333,1.20513333
0.517,186.12,4.82213586,1.20553397
0.518,186.48,4.82373843,1.20593461
0.519,186.84,4.82534099,1.20633525
0.52,187.2,4.82694356,1.20673589
0.521,187.56,4.82854612,1.20713653
0.522,187.92,4.83014869,1.20753717
0.523,188.28,4.83175125,1.20793781
0.524,188.64,4.83335381,1.20833845
0.525,189,4.83495638,1.20873909
0.526,189.36,4.83655894,1.20913974
0.527,189.72,4.83816151,1.20954038
0.528,190.08,4.83976407,1.20994102
0.529,190.44,4.84136663,1.21034166
0.53,190.8,4.8429692,1.2107423
0.531,191.16,4.84457176,1.21114294
0.532,191.52,4.84617433,1.21154358
0.533,191.88,4.84777689,1.21194422
0.534,192.24,4.84937945,1.21234486
0.535,192.6,4.85098202,1.2127455
0.536,192.96,4.85258458,1.21314615
0.537,193.32,4.85418715,1.21354679
0.538,193.68,4.85578971,1.21394743
0.539,194.04,4.85739227,1.21434807
0.54,194.4,4.85899484,1.21474871
0.541,194.76,4.8605974,1.21514935
0.542,195.12,4.86219997,1.21554999
0.543,195.48,4.86380253,1.21595063
0.544,195.84,4.8654051,1.21635127
0.545,196.2,4.86700766,1.21675191
0.546,196.56,4.86861022,1.21715256
0.547,196.92,4.87021279,1.2175532
0.548,197.28,4.87181535,1.21795384
0.549,197.64,4.87341792,1.21835448
0.55,198,4.87502048,1.21875512
0.551,198.36,4.87662304,1.21915576
0.552,198.72,4.87822561,1.2195564
0.553,199.08,4.87982817,1.21995704
0.554,199.44,4.88143074,1.22035768
0.555,199.8,4.8830333,1.22075833
0.556,200.16,4.88463586,1.22115897
0.557,200.52,4.88623843,1.22155961
0.558,200.88,4.88784099,1.22196025
0.559,201.24,4.88944356,1.22236089
0.56,201.6,4.89104612,1.22276153
0.561,201.96,4.89264869,1.22316217
0.562,202.32,4.89425125,1.22356281
0.563,202.68,4.89585381,1.22396345
0.564,203.04,4.89745638,1.22436409
0.565,203.4,4.89905894,1.22476474
0.566,203.76,4.90066151,1.22516538
0.567,204.12,4.90226407,1.22556602
0.568,204.48,4.90386663,1.22596666
0.569,204.84,4.9054692,1.2263673
0.57,205.2,4.90707176,1.22676794
0.571,205.56,4.90867433,1.22716858
0.572,205.92,4.91027689,1.22756922
0.573,206.28,4.91187945,1.22796986
0.574,206.64,4.91348202,1.2283705
0.575,207,4.91508458,1.22877115
0.576,207.36,4.91668715,1.22917179
0.577,207.72,4.91828971,1.22957243
0.578,208.08,4.91989227,1.22997307
0.579,208.44,4.92149484,1.23037371
0.58,208.8,4.9230974,1.23077435
0.581,209.16,4.92469997,1.23117499
0.582,209.52,4.92630253,1.23157563
0.583,209.88,4.9279051,1.23197627
0.584,210.24,4.92950766,1.23237691
0.585,210.6,4.93111022,1.23277756
0.586,210.96,4.93271279,1.2331782
0.587,211.32,4.93431535,1.23357884
0.588,211.68,4.93591792,1.23397948
0.589,212.04,4.93752048,1.23438012
0.59,212.4,4.93912304,1.23478076
0.591,212.76,4.94072561,1.2351814
0.592,213.12,4.94232817,1.23558204
0.593,213.48,4.94393074,1.23598268
0.594,213.84,4.9455333,1.23638333
0.595,214.2,4.94713586,1.23678397
0.596,214.56,4.94873843,1.23718461
0.597,214.92,4.95034099,1.23758525
0.598,215.28,4.95194356,1.23798589
0.599,215.64,4.95354612,1.23838653
0.6,216,4.95514869,1.23878717
0.601,216.36,4.95675125,1.23918781
0.602,216.72,4.95835381,1.23958845
0.603,217.08,4.95995638,1.23998909
0.604,217.44,4.96155894,1.24038974
0.605,217.8,4.96316151,1.24079038
0.606,218.16,4.96476407,1.24119102
0.607,218.52,4.96636663,1.24159166
0.608,218.88,4.9679692,1.2419923
0.609,219.24,4.96957176,1.24239294
0.61,219.6,4.97117433,1.24279358
0.611,219.96,4.97277689,1.24319422
0.612,220.32,4.97437945,1.24359486
0.613,220.68,4.97598202,1.2439955
0.614,221.04,4.97758458,1.24439615
0.615,221.4,4.97918715,1.24479679
0.616,221.76,4.98078971,1.24519743
0.617,222.12,4.98239227,1.24559807
0.618,222.48,4.98399484,1.24599871
0.619,222.84,4.9855974,1.24639935
0.62,223.2,4.98719997,1.24679999
0.621,223.56,4.98880253,1.24720063
0.622,223.92,4.9904051,1.24760127
0.623,224.28,4.99200766,1.24800191
0.624,224.64,4.99361022,1.24840256
0.625,225,4.99521279,1.2488032
0.626,225.36,4.99681535,1.24920384
0.627,225.72,4.99841792,1.24960448
0.628,226.08,5.00002048,1.25000512
0.629,226.44,5.00162304,1.25040576
0.63,226.8,5.00322561,1.2508064
0.631,227.16,5.00482817,1.25120704
0.632,227.52,5.00643074,1.25160768
0.633,227.88,5.0080333,1.25200833
0.634,228.24,5.00963586,1.25240897
0.635,228.6,5.01123843,1.25280961
0.636,228.96,5.01284099,1.25321025
0.637,229.32,5.01444356,1.25361089
0.638,229.68,5.01604612,1.25401153
0.639,230.04,5.01764869,1.25441217
0.64,230.4,5.01925125,1.25481281
0.641,230.76,5.02085381,1.25521345
0.642,231.12,5.02245638,1.25561409
0.643,231.48,5.02405894,1.25601474
0.644,231.84,5.02566151,1.25641538
0.645,232.2,5.02726407,1.25681602
0.646,232.56,5.02886663,1.25721666
0.647,232.92,5.0304692,1.2576173
0.648,233.28,5.03207176,1.25801794
0.649,233.64,5.03367433,1.25841858
0.65,234,5.03527689,1.25881922
0.651,234.36,5.03687945,1.25921986
0.652,234.72,5.03848202,1.2596205
0.653,235.08,5.04008458,1.26002115
0.654,235.44,5.04168715,1.26042179
0.655,235.8,5.04328971,1.26082243
0.656,236.16,5.04489227,1.26122307
0.657,236.52,5.04649484,1.26162371
0.658,236.88,5.0480974,1.26202435
0.659,237.24,5.04969997,1.26242499
0.66,237.6,5.05130253,1.26282563
0.661,237.96,5.0529051,1.26322627
0.662,238.32,5.05450766,1.26362691
0.663,238.68,5.05611022,1.26402756
