# Dados do modulador AM - ECOM060 / Cap.5.3 - UFAL 2026.2
# s_am = (1+ma*m)*Ac*cos(2pi*fc*t) + ruido ; ma=0.50 fc=2000Hz sigma=0.020
"# Colunas: t[s], mensagem, portadora, sinal_am"
t,mensagem,portadora,sinal_am
0.002860,0.797689,-0.187381,-0.251021
0.002870,0.797799,-0.062791,-0.109428
0.002880,0.797889,0.062791,0.092178
0.002890,0.797959,0.187381,0.272404
0.002900,0.798010,0.309017,0.431008
0.002910,0.798042,0.425779,0.582849
0.002920,0.798054,0.535827,0.723211
0.002930,0.798048,0.637424,0.870652
0.002940,0.798022,0.728969,1.012201
0.002950,0.797976,0.809017,1.114044
0.002960,0.797912,0.876307,1.247709
0.002970,0.797829,0.929776,1.304243
0.002980,0.797727,0.968583,1.322022
0.002990,0.797606,0.992115,1.397893
0.003000,0.797466,1.000000,1.405694
0.003010,0.797307,0.992115,1.390267
0.003020,0.797130,0.968583,1.363168
0.003030,0.796934,0.929776,1.315671
0.003040,0.796720,0.876307,1.239886
0.003050,0.796487,0.809017,1.150110
0.003060,0.796236,0.728969,1.035956
0.003070,0.795967,0.637424,0.905565
0.003080,0.795679,0.535827,0.759234
0.003090,0.795373,0.425779,0.587909
0.003100,0.795049,0.309017,0.439006
0.003110,0.794707,0.187381,0.268265
0.003120,0.794347,0.062791,0.057664
0.003130,0.793970,-0.062791,-0.107889
0.003140,0.793574,-0.187381,-0.291347
0.003150,0.793161,-0.309017,-0.446699
0.003160,0.792730,-0.425779,-0.579258
0.003170,0.792282,-0.535827,-0.742577
0.003180,0.791816,-0.637424,-0.906220
0.003190,0.791333,-0.728969,-1.018249
0.003200,0.790833,-0.809017,-1.129682
0.003210,0.790316,-0.876307,-1.231378
0.003220,0.789781,-0.929776,-1.313209
0.003230,0.789229,-0.968583,-1.354675
0.003240,0.788661,-0.992115,-1.372480
0.003250,0.788075,-1.000000,-1.393241
0.003260,0.787473,-0.992115,-1.371248
0.003270,0.786854,-0.968583,-1.317415
0.003280,0.786219,-0.929776,-1.278201
0.003290,0.785567,-0.876307,-1.201084
0.003300,0.784899,-0.809017,-1.139289
0.003310,0.784214,-0.728969,-0.981987
0.003320,0.783513,-0.637424,-0.886577
0.003330,0.782796,-0.535827,-0.739406
0.003340,0.782063,-0.425779,-0.639705
0.003350,0.781314,-0.309017,-0.443326
0.003360,0.780549,-0.187381,-0.257012
0.003370,0.779768,-0.062791,-0.104919
0.003380,0.778972,0.062791,0.079034
0.003390,0.778160,0.187381,0.248943
0.003400,0.777333,0.309017,0.459285
0.003410,0.776490,0.425779,0.581491
0.003420,0.775632,0.535827,0.724256
0.003430,0.774759,0.637424,0.892113
0.003440,0.773871,0.728969,0.993287
0.003450,0.772968,0.809017,1.143038
0.003460,0.772050,0.876307,1.194318
0.003470,0.771117,0.929776,1.293169
0.003480,0.770169,0.968583,1.325256
0.003490,0.769207,0.992115,1.376785
0.003500,0.768231,1.000000,1.401963
0.003510,0.767240,0.992115,1.363298
0.003520,0.766234,0.968583,1.369021
0.003530,0.765215,0.929776,1.315760
0.003540,0.764182,0.876307,1.209447
0.003550,0.763134,0.809017,1.123471
0.003560,0.762073,0.728969,0.991270
0.003570,0.760998,0.637424,0.916791
0.003580,0.759909,0.535827,0.777758
0.003590,0.758807,0.425779,0.601526
0.003600,0.757692,0.309017,0.455555
0.003610,0.756563,0.187381,0.264495
0.003620,0.755421,0.062791,0.080473
0.003630,0.754265,-0.062791,-0.063458
0.003640,0.753097,-0.187381,-0.292901
0.003650,0.751916,-0.309017,-0.438725
0.003660,0.750722,-0.425779,-0.586668
0.003670,0.749516,-0.535827,-0.776271
0.003680,0.748297,-0.637424,-0.861605
0.003690,0.747065,-0.728969,-0.986755
0.003700,0.745821,-0.809017,-1.115544
0.003710,0.744565,-0.876307,-1.205124
0.003720,0.743297,-0.929776,-1.290011
0.003730,0.742017,-0.968583,-1.327680
0.003740,0.740725,-0.992115,-1.369025
0.003750,0.739421,-1.000000,-1.355032
0.003760,0.738105,-0.992115,-1.362195
0.003770,0.736778,-0.968583,-1.307562
0.003780,0.735440,-0.929776,-1.324488
0.003790,0.734090,-0.876307,-1.222839
0.003800,0.732729,-0.809017,-1.108635
0.003810,0.731357,-0.728969,-0.934854
0.003820,0.729974,-0.637424,-0.896793
0.003830,0.728580,-0.535827,-0.687888
0.003840,0.727176,-0.425779,-0.571572
0.003850,0.725761,-0.309017,-0.394430
0.003860,0.724335,-0.187381,-0.265986
0.003870,0.722899,-0.062791,-0.075828
0.003880,0.721452,0.062791,0.087397
0.003890,0.719996,0.187381,0.244062
0.003900,0.718530,0.309017,0.411592
0.003910,0.717053,0.425779,0.578680
0.003920,0.715567,0.535827,0.737943
0.003930,0.714071,0.637424,0.873878
0.003940,0.712566,0.728969,0.970781
0.003950,0.711051,0.809017,1.104148
0.003960,0.709527,0.876307,1.184806
0.003970,0.707993,0.929776,1.223847
0.003980,0.706451,0.968583,1.339707
0.003990,0.704900,0.992115,1.349277
0.004000,0.703340,1.000000,1.360555
0.004010,0.701771,0.992115,1.354788
0.004020,0.700193,0.968583,1.304049
0.004030,0.698607,0.929776,1.238226
0.004040,0.697013,0.876307,1.183749
0.004050,0.695410,0.809017,1.081293
0.004060,0.693800,0.728969,0.997592
0.004070,0.692181,0.637424,0.844201
0.004080,0.690555,0.535827,0.741456
0.004090,0.688921,0.425779,0.542006
0.004100,0.687279,0.309017,0.426492
0.004110,0.685630,0.187381,0.250820
0.004120,0.683973,0.062791,0.099435
0.004130,0.682309,-0.062791,-0.067348
0.004140,0.680638,-0.187381,-0.252523
0.004150,0.678960,-0.309017,-0.400103
0.004160,0.677275,-0.425779,-0.564305
0.004170,0.675583,-0.535827,-0.675644
0.004180,0.673885,-0.637424,-0.860416
0.004190,0.672180,-0.728969,-0.975217
0.004200,0.670469,-0.809017,-1.067317
0.004210,0.668752,-0.876307,-1.151274
0.004220,0.667028,-0.929776,-1.261825
0.004230,0.665299,-0.968583,-1.320292
0.004240,0.663563,-0.992115,-1.296416
0.004250,0.661822,-1.000000,-1.340252
0.004260,0.660075,-0.992115,-1.331674
0.004270,0.658322,-0.968583,-1.290073
0.004280,0.656565,-0.929776,-1.251384
0.004290,0.654801,-0.876307,-1.183190
0.004300,0.653033,-0.809017,-1.059112
0.004310,0.651260,-0.728969,-0.976441
0.004320,0.649482,-0.637424,-0.843618
0.004330,0.647699,-0.535827,-0.736220
0.004340,0.645911,-0.425779,-0.571575
0.004350,0.644119,-0.309017,-0.399362
0.004360,0.642322,-0.187381,-0.273988
0.004370,0.640521,-0.062791,-0.088610
0.004380,0.638716,0.062791,0.078960
0.004390,0.636907,0.187381,0.259662
0.004400,0.635094,0.309017,0.408312
0.004410,0.633277,0.425779,0.546253
0.004420,0.631457,0.535827,0.726196
0.004430,0.629633,0.637424,0.827773
0.004440,0.627805,0.728969,0.925339
0.004450,0.625974,0.809017,1.062320
0.004460,0.624140,0.876307,1.143302
0.004470,0.622303,0.929776,1.228150
0.004480,0.620463,0.968583,1.265189
0.004490,0.618620,0.992115,1.306454
0.004500,0.616775,1.000000,1.277356
0.004510,0.614927,0.992115,1.289157
0.004520,0.613076,0.968583,1.271342
0.004530,0.611223,0.929776,1.200152
0.004540,0.609368,0.876307,1.161356
0.004550,0.607511,0.809017,1.024269
0.004560,0.605652,0.728969,0.954811
0.004570,0.603790,0.637424,0.822623
0.004580,0.601928,0.535827,0.686289
0.004590,0.600063,0.425779,0.560300
0.004600,0.598197,0.309017,0.396822
0.004610,0.596330,0.187381,0.237099
0.004620,0.594461,0.062791,0.107817
0.004630,0.592592,-0.062791,-0.050743
0.004640,0.590721,-0.187381,-0.259801
0.004650,0.588849,-0.309017,-0.403919
0.004660,0.586977,-0.425779,-0.570960
0.004670,0.585104,-0.535827,-0.715330
0.004680,0.583230,-0.637424,-0.811967
0.004690,0.581356,-0.728969,-0.940398
0.004700,0.579481,-0.809017,-1.030692
0.004710,0.577607,-0.876307,-1.146575
0.004720,0.575732,-0.929776,-1.181259
0.004730,0.573857,-0.968583,-1.245666
0.004740,0.571983,-0.992115,-1.295935
0.004750,0.570108,-1.000000,-1.296123
0.004760,0.568234,-0.992115,-1.237711
0.004770,0.566361,-0.968583,-1.234197
0.004780,0.564488,-0.929776,-1.171412
0.004790,0.562616,-0.876307,-1.124445
0.004800,0.560745,-0.809017,-1.061088
0.004810,0.558874,-0.728969,-0.908646
0.004820,0.557005,-0.637424,-0.803677
0.004830,0.555137,-0.535827,-0.673904
0.004840,0.553270,-0.425779,-0.539312
0.004850,0.551405,-0.309017,-0.386473
0.004860,0.549541,-0.187381,-0.228648
0.004870,0.547678,-0.062791,-0.114541
0.004880,0.545818,0.062791,0.114223
0.004890,0.543959,0.187381,0.257119
0.004900,0.542102,0.309017,0.379721
0.004910,0.540247,0.425779,0.542244
0.004920,0.538395,0.535827,0.648930
0.004930,0.536544,0.637424,0.809172
0.004940,0.534696,0.728969,0.931785
0.004950,0.532851,0.809017,1.046739
0.004960,0.531008,0.876307,1.109974
0.004970,0.529168,0.929776,1.171771
0.004980,0.527330,0.968583,1.217887
0.004990,0.525496,0.992115,1.253547
0.005000,0.523664,1.000000,1.256142
0.005010,0.521836,0.992115,1.262618
0.005020,0.520011,0.968583,1.226984
0.005030,0.518189,0.929776,1.175325
0.005040,0.516371,0.876307,1.105641
