Time,Subsystem1.i_in,Subsystem1.i_read
0.0526,0.0010005169,0.001
0.0527,0.0010003219,0.001
0.0528,0.0010006088,0.001
0.0529,0.0010005125,0.001
0.053,0.0010008493,0.001
0.0531,0.0010003173,0.001
0.0532,0.0010004821,0.001
0.0533,0.0010005394,0.001
0.0534,0.0010002439,0.001
0.0535,0.001000268,0.001
0.0536,0.0010005214,0.001
0.0537,0.0010001028,0.001
0.0538,0.0010006216,0.001
0.0539,0.0010001442,0.001
0.054,0.0010002843,0.001
0.0541,0.001000022,0.001
0.0542,0.0009998768,0.000999
0.0543,0.0010006158,0.001
0.0544,0.001000276,0.001
0.0545,0.0010005761,0.001
0.0546,0.000999874,0.000999
0.0547,0.0010005744,0.001
0.0548,0.0010002373,0.001
0.0549,0.0010005755,0.001
0.055,0.0010004704,0.001
0.0551,0.0010004408,0.001
0.0552,0.001001083,0.001001
0.0553,0.001000217,0.001
0.0554,0.0010004397,0.001
0.0555,0.001001215,0.001001
0.0556,0.001000666,0.001
0.0557,0.0010006191,0.001
0.0558,0.0010000402,0.001
0.0559,0.0010004595,0.001
0.056,0.0010004,0.001
0.0561,0.0010007819,0.001
0.0562,0.001000592,0.001
0.0563,0.0010000959,0.001
0.0564,0.0010008247,0.001
0.0565,0.0010002167,0.001
0.0566,0.001000471,0.001
0.0567,0.0010006456,0.001
0.0568,0.0010006642,0.001
0.0569,0.0010006918,0.001
0.057,0.0010008735,0.001
0.0571,0.0010008023,0.001
0.0572,0.0010005735,0.001
0.0573,0.0010008357,0.001
0.0574,0.0010007926,0.001
0.0575,0.0010008878,0.001
0.0576,0.0010000276,0.001
0.0577,0.001000768,0.001
0.0578,0.0010002797,0.001
0.0579,0.001000645,0.001
0.058,0.0010003659,0.001
0.0581,0.0010002877,0.001
0.0582,0.0010003069,0.001
0.0583,0.0010000461,0.001
0.0584,0.0010006974,0.001
0.0585,0.0010002193,0.001
0.0586,0.0010006494,0.001
0.0587,0.001000276,0.001
