tempo,x_referencia,y_instrumento,condicao
113.617559300,1.514999986,2.347756386,condicao_2
113.870541900,1.557000041,2.404913425,condicao_2
114.129616400,1.598999977,2.422240734,condicao_2
114.448376900,1.639999986,2.482012749,condicao_2
114.715091200,1.682000041,2.501832724,condicao_2
115.023123800,1.723999977,2.560595751,condicao_2
115.349689000,1.764999986,2.606770754,condicao_2
115.674332300,1.805999994,2.619668245,condicao_2
115.979366100,1.847000003,2.681093931,condicao_2
116.395853800,1.888000011,2.718319654,condicao_2
116.772752600,1.929999948,2.756366253,condicao_2
117.020357100,1.972000003,2.780593395,condicao_2
117.270057100,2.013999939,2.797853231,condicao_2
117.518362900,2.055999994,2.831983566,condicao_2
117.855817800,2.096999884,2.907038927,condicao_2
118.210799000,2.138000011,2.904609442,condicao_2
118.659569300,2.178999901,2.956331015,condicao_2
118.907427800,2.220000029,2.994308949,condicao_2
119.266749100,2.262000084,3.021580935,condicao_2
119.591063200,2.303999901,3.066823006,condicao_2
119.877966900,2.345000029,3.107739925,condicao_2
120.314346300,2.385999918,3.154087305,condicao_2
120.725068000,2.427000046,3.187910318,condicao_2
121.101060500,2.470000029,3.231808424,condicao_2
121.482401700,2.510999918,3.278804064,condicao_2
121.897866200,2.552000046,3.313404799,condicao_2
122.358218500,2.592999935,3.348087072,condicao_2
122.706172400,2.634000063,3.380390644,condicao_2
123.087266900,2.674999952,3.406031370,condicao_2
123.473623600,2.716000080,3.455236197,condicao_2
123.822529000,2.756999969,3.498642445,condicao_2
124.174991200,2.799000025,3.499582767,condicao_2
124.653223300,2.838999987,3.566412687,condicao_2
125.101453200,2.881000042,3.579885721,condicao_2
125.483265700,2.921999931,3.648648500,condicao_2
125.937213800,2.963000059,3.663087368,condicao_2
126.401169300,3.003999949,3.702186823,condicao_2
126.837952700,3.046000004,3.744384050,condicao_2
127.336515400,3.086999893,3.773651123,condicao_2
127.772725000,3.127000093,3.827393770,condicao_2
128.247792600,3.167999983,3.836185694,condicao_2
128.690671600,3.209000111,3.885285854,condicao_2
129.138662100,3.250999928,3.944194078,condicao_2
129.648724600,3.290999889,3.981367111,condicao_2
130.072471400,3.332000017,4.007749081,condicao_2
130.500850300,3.374000072,4.055339336,condicao_2
130.975600900,3.414000034,4.084867954,condicao_2
131.435759900,3.456000090,4.103221893,condicao_2
131.902462600,3.496000051,4.157503605,condicao_2
132.338012000,3.536999941,4.179755688,condicao_2
132.697942000,3.578999996,4.208705425,condicao_2
133.013821400,3.618999958,4.269542694,condicao_2
133.311920700,3.660000086,4.302303791,condicao_2
133.658835600,3.701999903,4.349002838,condicao_2
134.025815200,3.743000031,4.361697197,condicao_2
134.277757000,3.785000086,4.399408340,condicao_2
134.745970000,3.825999975,4.440190792,condicao_2
135.161998900,3.867000103,4.499991417,condicao_2
135.622521600,3.907999992,4.530280590,condicao_2
135.960078700,3.948999882,4.544522762,condicao_2
136.430398500,3.990000010,4.574913979,condicao_2
136.782598900,4.031000137,4.645802975,condicao_2
137.207976700,4.072000027,4.684573174,condicao_2
137.659284900,4.111999989,4.719216347,condicao_2
138.129407500,4.152999878,4.728442192,condicao_2
138.600862500,4.193999767,4.762896061,condicao_2
139.095340100,4.235000134,4.792100430,condicao_2
139.589348100,4.276000023,4.836114883,condicao_2
140.070545600,4.315999985,4.894975662,condicao_2
140.547882300,4.356999874,4.941199303,condicao_2
141.004170500,4.397999763,4.977028370,condicao_2
141.480971800,4.439000130,4.984629154,condicao_2
141.940458400,4.480999947,5.052723408,condicao_2
142.384993900,4.520999908,5.056513309,condicao_2
142.860953600,4.561999798,5.087798119,condicao_2
143.342855500,4.603000164,5.161586285,condicao_2
143.780466600,4.644000053,5.188715935,condicao_2
144.239416000,4.684000015,5.235459805,condicao_2
144.721392500,4.724999905,5.235510349,condicao_2
145.226854700,4.765999794,5.304677486,condicao_2
145.693375500,4.807000160,5.345691681,condicao_2
146.165356500,4.848000050,5.344824314,condicao_2
146.635284100,4.888999939,5.408858299,condicao_2
147.094695900,4.929999828,5.427021980,condicao_2
147.566424100,4.971000195,5.465259075,condicao_2
147.980558600,5.011000156,5.496127129,condicao_2
148.450320600,5.052000046,5.555223465,condicao_2
148.933267500,5.092000008,5.600608349,condicao_2
149.386930500,5.133999825,5.637070656,condicao_2
149.819294900,5.173999786,5.641759872,condicao_2
150.279406000,5.216000080,5.701463699,condicao_2
150.692664700,5.256000042,5.711108685,condicao_2
151.168065400,5.296999931,5.752279282,condicao_2
151.659227700,5.339000225,5.790215492,condicao_2
152.128736100,5.380000114,5.825196743,condicao_2
152.581979300,5.420000076,5.877094746,condicao_2
153.059206700,5.461999893,5.926252842,condicao_2
153.522758600,5.501999855,5.945405483,condicao_2
153.989035500,5.543000221,6.008418560,condicao_2
154.443401300,5.584000111,6.008255482,condicao_2
154.907335900,5.624000072,6.077629566,condicao_2
155.354956000,5.664999962,6.101511478,condicao_2
155.818839900,5.705999851,6.130426407,condicao_2
156.311041900,5.747000217,6.157918930,condicao_2
156.721606800,5.788000107,6.228676319,condicao_2
157.203943400,5.828999996,6.264558315,condicao_2
157.686049000,5.869999886,6.293465137,condicao_2
158.134951500,5.910999775,6.333553314,condicao_2
158.596565900,5.952000141,6.358807087,condicao_2
159.058056200,5.993000031,6.410769463,condicao_2
159.545154900,6.033999920,6.421042442,condicao_2
160.033274000,6.073999882,6.449306488,condicao_2
160.487993500,6.114999771,6.519269943,condicao_2
160.979420000,6.156000137,6.559945107,condicao_2
161.423655200,6.197000027,6.576383591,condicao_2
161.877514100,6.237999916,6.611816883,condicao_2
162.337882100,6.278999805,6.669535160,condicao_2
162.752346700,6.320000172,6.696225643,condicao_2
163.223253000,6.361000061,6.741182327,condicao_2
163.682941400,6.401999950,6.767816067,condicao_2
164.110250200,6.442999840,6.805426121,condicao_2
164.557243900,6.482999802,6.853249073,condicao_2
165.021924000,6.524000168,6.870910645,condicao_2
165.449365400,6.565000057,6.888974190,condicao_2
165.859172200,6.605999947,6.936089039,condicao_2
166.190955000,6.646999836,6.998571396,condicao_2
166.633034000,6.688000202,7.003794193,condicao_2
167.095202200,6.729000092,7.066860676,condicao_2
167.549334300,6.769999981,7.084879398,condicao_2
168.025030900,6.810999870,7.143424988,condicao_2
168.499438600,6.852000237,7.152171135,condicao_2
168.983869800,6.893000126,7.189433575,condicao_2
169.413856900,6.934000015,7.249397755,condicao_2
169.759388600,6.975999832,7.285281181,condicao_2
170.138466300,7.017000198,7.307932854,condicao_2
170.552464700,7.058000088,7.335060596,condicao_2
170.872234900,7.098999977,7.370111942,condicao_2
171.192064300,7.139999866,7.431674004,condicao_2
171.582222100,7.181000233,7.459670067,condicao_2
171.950758800,7.222000122,7.518578529,condicao_2
172.348877400,7.263000011,7.554507256,condicao_2
172.688971600,7.303999901,7.581755638,condicao_2
173.153231200,7.343999863,7.629457474,condicao_2
173.523476300,7.386000156,7.660697937,condicao_2
173.926306000,7.427999973,7.695676804,condicao_2
174.324010100,7.468999863,7.741108418,condicao_2
174.693560000,7.511000156,7.779374599,condicao_2
175.049731800,7.552000046,7.798844814,condicao_2
175.387155400,7.593999863,7.822335720,condicao_2
175.812753300,7.635000229,7.862946033,condicao_2
176.223613700,7.676000118,7.894773960,condicao_2
176.671653200,7.717000008,7.939967632,condicao_2
177.125449800,7.757999897,7.979062080,condicao_2
177.523106000,7.798999786,8.013801575,condicao_2
177.988668900,7.839000225,8.049024582,condicao_2
178.419168600,7.880000114,8.075980186,condicao_2
178.891534900,7.921000004,8.138970375,condicao_2
179.300718400,7.961999893,8.165485382,condicao_2
179.760154600,8.003000259,8.206912994,condicao_2
180.248872700,8.043999672,8.223780632,condicao_2
180.728147200,8.085000038,8.295483589,condicao_2
181.188994900,8.126000404,8.293798447,condicao_2
181.638866900,8.166000366,8.360796928,condicao_2
182.076562300,8.206999779,8.370441437,condicao_2
182.520982500,8.248000145,8.419528008,condicao_2
183.007463400,8.288999557,8.440693855,condicao_2
183.465138000,8.329999924,8.516824722,condicao_2
183.937317200,8.371000290,8.519697189,condicao_2
184.370607500,8.411999702,8.565782547,condicao_2
184.792229100,8.453000069,8.612438202,condicao_2
185.239955200,8.494000435,8.647650719,condicao_2
185.711102600,8.536000252,8.691157341,condicao_2
186.159775800,8.576999664,8.738617897,condicao_2
186.620290700,8.619000435,8.773315430,condicao_2
186.955413800,8.659000397,8.780841827,condicao_2
187.372213200,8.701000214,8.826881409,condicao_2
187.868806600,8.741999626,8.873407364,condicao_2
188.341054300,8.781999588,8.921656609,condicao_2
188.811963300,8.822999954,8.955480576,condicao_2
189.293874200,8.864000320,8.972268105,condicao_2
189.777181500,8.904999733,9.032499313,condicao_2
190.227377100,8.946000099,9.038222313,condicao_2
190.664357400,8.987999916,9.087278366,condicao_2
190.993585400,9.029000282,9.123860359,condicao_2
191.286117800,9.071000099,9.183636665,condicao_2
191.689719400,9.112000465,9.183419228,condicao_2
192.037162600,9.152000427,9.251187325,condicao_2
192.357678700,9.194000244,9.268401146,condicao_2
192.682700200,9.236000061,9.326940536,condicao_2
193.007218400,9.276000023,9.331315994,condicao_2
193.388320900,9.319000244,9.380132675,condicao_2
193.786221400,9.359999657,9.410724640,condicao_2
194.167662900,9.401000023,9.474504471,condicao_2
194.595958700,9.442000389,9.517347336,condicao_2
195.071203600,9.482999802,9.525419235,condicao_2
195.513632300,9.524000168,9.554762840,condicao_2
195.991186500,9.564999580,9.606481552,condicao_2
196.455501100,9.604999542,9.633499146,condicao_2
196.894940200,9.645999908,9.700327873,condicao_2
197.368091800,9.687000275,9.715144157,condicao_2
197.833578200,9.727999687,9.760129929,condicao_2
198.200276200,9.770000458,9.812105179,condicao_2
198.610668300,9.810999870,9.842875481,condicao_2
198.966047500,9.852000237,9.851327896,condicao_2
199.391946700,9.892999649,9.884239197,condicao_2
199.797020600,9.934000015,9.927894592,condicao_2
200.256823500,9.975000381,9.987446785,condicao_2
200.702524700,10.000000000,10.007343292,condicao_2
